"id","naam","adres","latitude","longitude","capaciteit","free_slots","parked_bikes"
"3c98f8053c94d3942e7764e23ec1e9a1","022- Statie","Statiestraat 162",51.19992,4.43099,31,19,12
"3d6bd13252c152c6497a3d91fd155207","293- Edgard Castelein","Edgard Casteleinstraat",51.18852,4.39095,36,27,9
"3e400836d7b4a1264310c817d5154d80","069- Fonteinstraat","Fonteinstraat tov 72",51.21116,4.44196,36,30,6
"3f125ce09bda9f78e8320a3a543d083d","238- Ertbrugge","Ertbruggelaan",51.22373,4.47563,24,11,13
"3f490431fc832258e55eb48f6a20a79a","322 - Malisgoed","Malisgoed",51.16695,4.38213,24,14,10
"3fefc4bec572452d1876fd4e8d8d31f6","106- Draakplaats","Draakplaats",51.20561,4.43221,33,23,10
"40e07983f1c64959e7c62d2c02fccaae","225- Verbindingsdok Eilandje","Verbindingsdok/Oostkaai",51.23048,4.40769,36,23,13
"416a150e925755db157ee811062f1f1d","063- Slachthuis","Lange Lobroekstraat tov huisnr 49/51 kruising Twee stierenstraat",51.2293,4.43307,35,13,22
"41dbc111c1d8790d8ff002871b3b64a7","156- Gasstraat","Van Kerckhovenstraat 74-76",51.22603,4.42551,30,29,1
"42472a4068a5bcd937160934f4b9b058","204- Luchtbal winkelcentrum","Noorderlaan",51.24996,4.4209,36,17,19
"428a83e5c596a6e07ded9b37ea7f6fab","297- Tentoonstellingswijk","Tentoonstellingslaan",51.19062,4.38893,34,1,33
"45079d89920a2b0f22ef112caedde9b5","289- Broydenborgpark","Walstraat",51.17355,4.35228,34,16,18
"45b15e096422d34b6b2c13f3e8e35e1e","042- Harmonie","Mechelsesteenweg - Ingang Harmoniepark",51.20228,4.41207,35,33,2
"465e099ec59162e3849e2024c3b960d4","255- Van den Haute","Van den Hautelei",51.20414,4.46764,36,31,5
"468204b91eb6fec30cb6e6ba518febf6","296- Mastvest","Eric Sassenlaan",51.19408,4.39304,30,23,7
"46d3e7f3e0e1876998a2f97d06395a6e","273- Campus Groenenborger","Oosterveldlaan",51.17582,4.41283,36,4,32
"47111c581fb8af317e7760b2200c64df","029- Lozana","Lange Lozanastraat n° 149",51.20178,4.40606,36,35,1
"471fa2008789a2d734fbb4eeb9deb6fe","136- Spoor Noord Skatebowl","Hardenvoort",51.23176,4.42101,36,32,4
"47e80cf1c75fbda6849ac49e3349b878","007- NMBS Berchem","Binnensingel ingang station Berchem",51.20108,4.43395,34,20,14
"48380ff4011d176ed72af6d5fa3ad0f4","062- Station Dam","Damplein/Lange lobroekstraat ro n° 222",51.23183,4.42698,23,16,7
"48b1eab61dc5aa5d1a0ff51a952b12ca","050- Klapdorp","Sint-Paulusstraat/ Lange Koepoortstraat",51.22373,4.40302,21,2,19
"4a35eab0da109d7dd0c338303c5d3517","044- Belgielei","Belgiëlei 99",51.20572,4.41819,35,21,14
"4aae273c7c3b0b54e6487ad801ae3b5e","312 - Graspolder","Graspolderlaan",51.18474,4.34251,36,21,15
"4c127904f68ae1380a9152fe7f64aad7","030- Het Laar","Laar",51.21634,4.43334,24,19,5
"4ce87cb0d765acc411d976d945afbf84","263- Fruithoflaan 2","Fruithoflaan - Jos Ratinckxstraat",51.18453,4.44104,36,32,4
"4d00b67757a4a3f2adc0941dd05f051c","018- Meirbrug","Meir n° 18",51.21819,4.40617,33,26,7
"4d091f91939a3e3f14bfb387a8ed99da","072- Tropisch Instituut","Kronenburgstraat ro n° 82",51.21189,4.39894,35,17,18
"4d7c311433f7fb2fc8ffc0d31084a583","145- De Coster","August Vermeylenlaan/ Charles de Costerlaan",51.22784,4.37855,23,21,2
"4da13a1ac347be9613a61f971715c311","231- den Antwerp","Ter Heydenlaan",51.22922,4.46783,35,23,12
"4e37f39ebcf6d2667f805d884ebc0139","183 - Veer LO","Thonetlaan - Veerpont",51.22495,4.39009,36,31,5
"4f248efd69b531e3f3658b75f41b4073","065- Plantinkaai","Sint Michielskaai ro nr.5",51.21619,4.39343,33,19,14
"511d48adf36a77afc0bb56c50f5867d4","325 - Paul Vekemans","Paul Vekemanslaan",51.17488,4.35993,30,18,12
"512c269ef950cf15f17e030de4c0b08f","239- Zwarte Arend","Alfons schneiderlaan",51.22126,4.47948,28,21,7
