X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen,Naam
493719.867663793,6654547.35083781,85380,VELOSTATION,DUBBELZIJDIG,PLEIN,Filip Williotstraat,11,,Berchem,2600,VE_0000264,IN_GEBRUIK,36,264 Filip Williotstraat
493368.045847062,6654111.66137497,85381,VELOSTATION,DUBBELZIJDIG,VOETPAD,Pulhoflaan,,thv Lappersbrug,Berchem,2600,VE_0000265,IN_GEBRUIK,30,265 Pulhof
493681.633452909,6653340.23571093,85382,VELOSTATION,ENKELZIJDIG,MIDDENBERM,Fruithoflaan,3-5,to 3-5,Berchem,2600,VE_0000266,IN_GEBRUIK,36,266 Fruithoflaan 1
492405.258444015,6654228.77155072,85383,VELOSTATION,DUBBELZIJDIG,GROENZONE,Prins Leopoldlaan,36,to 36 od hoek,Berchem,2600,VE_0000267,IN_GEBRUIK,30,267 Leopold
491863.384344579,6653736.99001464,85384,VELOSTATION,ENKELZIJDIG,VOETPAD,Lindendreef,,,Antwerpen,2020,VE_0000268,IN_GEBRUIK,36,268 ZNA Middelheim
492519.579715117,6653745.55805266,85385,VELOSTATION,DUBBELZIJDIG,GROENZONE,Troyentenhoflaan,120-122,,Berchem,2600,VE_0000269,IN_GEBRUIK,30,269 Middelheim
490262.195304825,6654329.53654196,85386,VELOSTATION,ENKELZIJDIG,GROENZONE,Eglantierlaan,1,,Antwerpen,2020,VE_0000270,IN_GEBRUIK,36,270 Dikke Mee
490812.918859277,6653329.67614924,85387,VELOSTATION,DUBBELZIJDIG,GROENZONE,Beukenlaan,24,to 24 hoek Middelheimlaan,Antwerpen,2020,VE_0000271,IN_GEBRUIK,36,271 Middelheim Museum
492215.515028243,6652808.250874,85388,VELOSTATION,ENKELZIJDIG,MIDDENBERM,Groenenborgerlaan,199,,Antwerpen,2020,VE_0000272,IN_GEBRUIK,30,272 Groenenborger
491251.323812223,6652448.69818494,85389,VELOSTATION,ENKELZIJDIG,GROENZONE,Oosterveldlaan,8,to 8,Wilrijk,2610,VE_0000273,IN_GEBRUIK,36,273 Campus Groenenborger
